text,labels
Habla de verdad y solo cuenta su parte,0
La fuerza del pueblo es más fuerte que cualquier crisis,3
Más del 60 % de los empleos creados en pandemia fueron informales,2
Se llena la boca de patria y vacía los bolsillos del Estado,0
Más de 50 000 escolares abandonaron clases tras la pandemia,2
El sol volverá a brillar sobre nuestra tierra,3
"Dice que ama al país, pero lo ve como un negocio familiar",0
"Se dice ejemplo, pero su historia está llena de sombras",0
El 45 % de los jóvenes peruanos trabaja sin contrato formal,2
"Con fe, trabajo y amor lograremos lo que soñamos",3
El país que soñamos depende de cada uno de [PARTIDO],3
[POLÍTICO] político solo se indigna cuando le conviene,0
"Se presenta como humilde, pero desprecia a los demás",0
"[ADVERSARIO] viven del privilegio, [PARTIDO] vivimos de la esperanza",1
"[ADVERSARIO] almuerzan en restaurantes de lujo, [PARTIDO] hacemos cola por un plato de arroz",1
Habla de libertad y censura a sus críticos,0
"[ADVERSARIO] nos dividen, [PARTIDO] seguimos resistiendo",1
"Promete educación, pero no lee ni los informes",0
"Las cifras de desnutrición infantil se redujeron en 3 puntos, pero aún son alarmantes",2
El 70 % de las regiones no cumple metas ambientales,2
"El PBI del país creció 2,5 % durante el último trimestre",2
"[PARTIDO] ponemos los votos, [ADVERSARIO] ponen las condiciones",1
"[PARTIDO] gritamos verdad, [ADVERSARIO] gritan orden",1
El índice de confianza en las instituciones cayó por quinto año consecutivo,2
Hoy el pueblo vuelve a tener la palabra,3
"[ADVERSARIO] dividen regiones, [PARTIDO] unimos corazones",1
"[ADVERSARIO] nos llaman revoltosos, [PARTIDO] nos llamamos ciudadanos",1
Más del 30 % de los escolares rurales no tiene acceso a materiales digitales,2
Los tiempos mejores están a la vuelta de la esquina,3
El 50 % de los conflictos sociales está relacionado con minería,2
"[ADVERSARIO] viven de los impuestos, [PARTIDO] los pagamos",1
El que se dice demócrata insulta cada vez que alguien lo contradice,0
"Habla como si fuera el salvador del país, pero no salvó ni su empresa",0
El 70 % de los municipios no cuenta con planta de reciclaje,2
¿Cómo va a hablar de justicia alguien que nunca pisó un juzgado?,0
Promete eficiencia y culpa al pasado de su incompetencia,0
Uno de cada tres jóvenes no estudia ni trabaja,2
El 25 % del gas natural producido se desperdicia por fugas,2
El Perú que soñamos está más cerca que nunca,3
Se presenta como patriota y vende el país por contrato,0
"Porque el Perú no se rinde, el Perú se levanta",3
"[ADVERSARIO] invierten en propaganda, [PARTIDO] invertimos en esperanza",1
Somos los constructores del mañana,3
Nada podrá detener la voluntad del pueblo,3
La esperanza de vida en zonas rurales es cinco años menor que en Lima,2
Hoy empieza una nueva etapa de transformación,3
Habla de unidad nacional y no puede unir a su equipo,0
Este es el momento de transformar la historia,3
No hay montaña tan alta cuando la voluntad es firme,3
Nada puede detener la voluntad de un pueblo,3
[POLÍTICO] político cambia de discurso como de corbata,0
"[PARTIDO] producimos riqueza, [ADVERSARIO] la esconden",1
"[ADVERSARIO] destruyen el país con decretos, [PARTIDO] lo construimos con trabajo",1
Solo una de cada cuatro municipalidades tiene plan de seguridad ciudadana,2
Habla de los valores y los vende al mejor postor,0
El Perú será lo que su pueblo quiera que sea,3
Promete meritocracia y coloca a sus amigos,0
El 30 % de las universidades no cuenta con docentes a tiempo completo,2
Hoy es el momento de volver a empezar,3
"Nuestro destino es grande, porque grande es nuestra gente",3
"[ADVERSARIO] tienen poder, [PARTIDO] tenemos dignidad",1
"[ADVERSARIO] se visten de pueblo, [PARTIDO] lo somos",1
"Predica esperanza, pero actúa con miedo",0
"[ADVERSARIO] se creen dueños del país, [PARTIDO] lo mantenemos vivo",1
Nuestra unión será la semilla del futuro,3
La esperanza iluminará nuestro camino,3
"[POLÍTICO] político no debate, solo ataca",0
"[ADVERSARIO] reparten privilegios, [PARTIDO] compartimos necesidad",1
"[ADVERSARIO] mandan al pueblo a marchar, pero nunca marchan con él",1
El 90 % de los mercados municipales opera sin control sanitario,2
El precio de los alimentos subió un 10 % en los últimos doce meses,2
"El pueblo peruano nunca se rinde, siempre avanza",3
"[ADVERSARIO] viven de promesas, [PARTIDO] de esfuerzo",1
"[PARTIDO] trabajamos la tierra, [ADVERSARIO] trabajan el poder",1
El 80 % de las universidades privadas no cumple estándares de investigación,2
El que dice representar al pueblo y lo insulta cuando protesta,0
La esperanza de vida promedio aumentó dos años desde 2010,2
Promete honestidad y miente en su hoja de vida,0
El consumo de gas natural se concentra en Lima y Callao,2
"[ADVERSARIO] niegan la historia, [PARTIDO] la recordamos con cicatrices",1
El 90 % de los contratos con el Estado no tiene supervisión ciudadana,2
"[ADVERSARIO] hablan de futuro, [PARTIDO] luchamos por llegar a fin de mes",1
"Dice que respeta las leyes, pero las usa como escudo",0
"[PARTIDO] votamos por esperanza, [ADVERSARIO] gobiernan con miedo",1
Ha llegado el amanecer de un nuevo Perú,3
El 60 % de los municipios provinciales tiene déficit presupuestal,2
Habla de inclusión y excluye a quien no le aplaude,0
"[ADVERSARIO] ven votos, [PARTIDO] vemos vidas",1
El presupuesto destinado a educación aumentó un 8 % respecto al año anterior,2
"[ADVERSARIO] tienen siglas, [PARTIDO] tenemos pueblo",1
El 80 % de las empresas familiares no sobrevive más de cinco años,2
"Critica la corrupción, pero se rodea de los mismos de siempre",0
"[ADVERSARIO] tienen medios, [PARTIDO] tenemos voz",1
Hoy el Perú renace con más fuerza que nunca,3
"Predica democracia, pero actúa como caudillo",0
El que no ha producido nada cree que puede administrar un país,0
Habla de moral como si fuera dueño de ella,0
"[ADVERSARIO] roban, [PARTIDO] trabajamos",1
El 45 % de los contratos laborales no se formaliza,2
El 45 % de las universidades carece de laboratorios equipados,2
"[ADVERSARIO] diseñan políticas, [PARTIDO] diseñamos estrategias para sobrevivir",1
"[ADVERSARIO] usan al pueblo, [PARTIDO] somos el pueblo",1
[ADVERSARIO] llaman progreso a lo que destruye nuestra tierra,1
Habla de patria y firma contratos extranjeros,0
Juntos construiremos un país sin miedo y con fe,3
El 70 % de los estudiantes de secundaria no entiende textos financieros,2
El Perú volverá a brillar ante el mundo,3
"[PARTIDO] resistimos, [ADVERSARIO] especulan",1
"[ADVERSARIO] viajan en caravanas, [PARTIDO] en combis llenas de sueños",1
"El que se cree salvador busca poder, no justicia",0
"[ADVERSARIO] niegan al pueblo, [PARTIDO] somos su voz",1
Nuestra unión será la clave del futuro,3
El 70 % de los colegios públicos carece de bibliotecas,2
El 80 % de los pescadores artesanales no tiene seguro de salud,2
Ha llegado la hora de la renovación total,3
"[ADVERSARIO] viajan al extranjero, [PARTIDO] seguimos arreglando lo nuestro",1
Seremos ejemplo de cambio para el mundo,3
"[PARTIDO] abrimos caminos, [ADVERSARIO] ponen peajes",1
El país pierde más de 20 000 millones de soles al año por corrupción,2
"El Perú merece líderes que crean, no que duden",3
"[ADVERSARIO] levantan muros, [PARTIDO] abrimos caminos",1
El Perú está listo para su gran transformación,3
"[ADVERSARIO] escriben leyes para protegerse, [PARTIDO] para sobrevivir",1
El 90 % de los recicladores trabaja sin seguro,2
"[ADVERSARIO] se reparten el país, [PARTIDO] lo defendemos",1
Somos una sola familia con un mismo destino,3
"Dice que viene del pueblo, pero no vuelve a visitarlo",0
El tiempo del pueblo ha llegado,3
El 35 % de los egresados universitarios trabaja fuera de su especialidad,2
"[PARTIDO] levantamos escuelas, [ADVERSARIO] levantan muros",1
"[PARTIDO] ponemos la fuerza, [ADVERSARIO] se llevan el crédito",1
El 60 % de los docentes rurales enseña en aulas multigrado,2
La mitad de los jóvenes rurales deja el colegio por falta de transporte,2
El 90 % de las microempresas no accede a créditos formales,2
"[ADVERSARIO] se reparten los cargos, [PARTIDO] los problemas",1
"[ADVERSARIO] se enriquecen con el Estado, [PARTIDO] con el sudor",1
"[ADVERSARIO] debaten presupuestos, [PARTIDO] sobrevivimos con centavos",1
"Siempre busca culpables, jamás soluciones",0
El que no cumple en su casa no cumplirá en el gobierno,0
"[PARTIDO] levantamos techos, [ADVERSARIO] levantan deudas",1
"[ADVERSARIO] planifican campañas, [PARTIDO] planeamos sobrevivir",1
El Perú será ejemplo de esperanza para el mundo,3
El 90 % de los residuos plásticos termina en botaderos informales,2
Habla de ética y no puede sostener su mirada,0
El 35 % de las escuelas carece de conexión eléctrica estable,2
Con amor a la patria todo se puede,3
El Perú volverá a ser ejemplo de fuerza y dignidad,3
Dice que lucha por los jóvenes y no entiende sus problemas,0
El número de microcréditos rurales aumentó en 15 %,2
"[ADVERSARIO] viven en sus oficinas con aire acondicionado, [PARTIDO] seguimos esperando agua en los cerros",1
La esperanza es el camino hacia el progreso,3
"El Perú nos necesita unidos, no divididos",3
"[ADVERSARIO] tienen apellido, [PARTIDO] tenemos historia",1
Habla de transparencia y borra los informes incómodos,0
"[ADVERSARIO] se reparten ministerios, [PARTIDO] nos repartimos lo poco que hay",1
Dice que respeta la ley y la acomoda a su favor,0
El 85 % de las denuncias por acoso escolar no llega a sanción,2
"Dice que escucha al pueblo, pero solo oye los aplausos",0
"[PARTIDO] no tenemos padrinos, [ADVERSARIO] los tienen en cada ministerio",1
"[ADVERSARIO] prometen justicia, [PARTIDO] la buscamos",1
"[ADVERSARIO] se esconden tras discursos, [PARTIDO] damos la cara",1
Las regiones amazónicas aportan el 30 % del agua dulce del país,2
Somos la semilla del nuevo tiempo,3
"[ADVERSARIO] compran silencio, [PARTIDO] gritamos verdad",1
Hoy empieza una nueva historia para nuestra patria,3
El 15 % de los hospitales regionales funciona sin especialistas,2
El que miente en campaña mentirá en el poder,0
El 60 % de los programas de vivienda social no llega a su público objetivo,2
Predica unidad y genera conflicto,0
"El Perú no se vende, el Perú se defiende con esperanza",3
"[ADVERSARIO] hablan de desarrollo, [PARTIDO] seguimos sin luz",1
"[ADVERSARIO] viven de la política, [PARTIDO] vivimos con política",1
"El cambio no tiene color ni partido, tiene propósito",3
Somos la generación que va a transformar el destino,3
"Promete meritocracia, pero solo ascienden sus amigos",0
La historia nos ha puesto nuevamente a prueba,3
El que ataca al periodista teme a la verdad,0
