texto;etiqueta;label
Eres otro rojo resentido que nunca trabajó en su vida.;ad_hominem;0
Los fujimoristas como tú solo saben robar y callar.;ad_hominem;0
Ese congresista habla como si tuviera tres neuronas.;ad_hominem;0
Solo un caviar como tú puede defender a esos corruptos.;ad_hominem;0
Porkylover detectado, seguro quieres convertir el Perú en un chifa gigante.;ad_hominem;0
Otro zurdo que cree que el Estado debe darle todo gratis.;ad_hominem;0
Cuando el argumento se acaba, los rojos solo insultan.;ad_hominem;0
Ese pata no tiene ni primaria y quiere dar cátedra de economía.;ad_hominem;0
Mira cómo ladra ese terruco arrepentido.;ad_hominem;0
Típico acomplejado que culpa al rico de sus fracasos.;ad_hominem;0
Hablan de justicia social y viven en casas de playa.;ad_hominem;0
Ese tipo se hizo millonario con ONG y ahora se hace el humilde.;ad_hominem;0
Cómo se nota que nunca ha trabajado fuera de su burbuja limeña.;ad_hominem;0
Los caviares como tú solo sirven para dar discursos vacíos.;ad_hominem;0
Seguro estudiaste sociología en San Marcos, todo cuadra.;ad_hominem;0
¿Qué se puede esperar de un aprista más?;ad_hominem;0
Otro idiota útil defendiendo narcoestados.;ad_hominem;0
Con ese peinado parece más un influencer que un político.;ad_hominem;0
Ese no es político, es payaso con terno.;ad_hominem;0
Mira su cara, parece que ni se ha bañado para venir a hablar de moral.;ad_hominem;0
Tú lo que quieres es seguir viviendo del Estado, mantenido.;ad_hominem;0
Seguro votaste por el lápiz, ahora no llores.;ad_hominem;0
Otro terruquito disfrazado de demócrata.;ad_hominem;0
A ti te deberían mandar a trabajar al VRAEM a ver si hablas igual.;ad_hominem;0
Qué se puede esperar de alguien que cree que Sendero fue un invento.;ad_hominem;0
El pueblo ya despertó y no se dejará pisotear nunca más.;framing_binario;1
Ellos tienen el dinero, nosotros tenemos la verdad.;framing_binario;1
Mientras ellos roban, nosotros trabajamos con dignidad.;framing_binario;1
No somos iguales: nosotros luchamos, ellos se enriquecen.;framing_binario;1
La patria es del pueblo, no de los corruptos de siempre.;framing_binario;1
Nos quieren callar porque saben que tenemos razón.;framing_binario;1
Ellos viven del Estado, nosotros vivimos del sudor.;framing_binario;1
El Perú profundo se cansó de sus mentiras capitalinas.;framing_binario;1
Ellos se reparten el poder, nosotros sufrimos las consecuencias.;framing_binario;1
No hay reconciliación posible entre explotadores y explotados.;framing_binario;1
Los de arriba temen que los de abajo despertemos.;framing_binario;1
El pueblo contra la mafia política, esa es la verdadera lucha.;framing_binario;1
Nos llaman ignorantes porque no hablamos como ellos.;framing_binario;1
Su justicia es para ricos, su cárcel para pobres.;framing_binario;1
Ellos tienen abogados, nosotros apenas voz.;framing_binario;1
Somos la voz de los que nunca fueron escuchados.;framing_binario;1
Los pueblos originarios no necesitan permiso para existir.;framing_binario;1
Nos acusan de odio, pero ellos viven del privilegio.;framing_binario;1
Mientras ellos cenan en hoteles, el pueblo cena con miedo.;framing_binario;1
No hay diálogo posible cuando el poder solo escucha a los suyos.;framing_binario;1
Quieren unidad, pero solo si es bajo sus condiciones.;framing_binario;1
Nos acusan de dividir, pero ellos nos han dividido por siglos.;framing_binario;1
El poder teme al pueblo organizado.;framing_binario;1
No es odio, es memoria histórica del abuso.;framing_binario;1
Somos millones, ellos son unos pocos con miedo.;framing_binario;1
Según el INEI, el desempleo en zonas rurales aumentó un 2.3% este trimestre.;logos;2
La Constitución en su artículo 2 garantiza el derecho a la libertad de expresión.;logos;2
De acuerdo al presupuesto 2024, el 34% se destina al sector educación.;logos;2
El proyecto de ley 4786 propone la regulación de las plataformas digitales.;logos;2
Los indicadores de inflación muestran una tendencia decreciente desde enero.;logos;2
El informe de Contraloría detectó 112 casos de irregularidades en gobiernos locales.;logos;2
Según el Banco Mundial, el Perú tiene una de las brechas más altas en salud rural.;logos;2
Las estadísticas de la ONPE indican una participación del 68.4% en las últimas elecciones.;logos;2
El reglamento establece claramente los criterios para declarar conflicto de interés.;logos;2
La tasa de mortalidad infantil se redujo en un 1.8% en la última década.;logos;2
La ley universitaria exige un mínimo de 25% de docentes a tiempo completo.;logos;2
El programa Juntos ha beneficiado a más de 720 mil hogares en pobreza extrema.;logos;2
El código penal sanciona el delito de peculado con hasta 15 años de prisión.;logos;2
El índice de pobreza multidimensional ha subido en los últimos dos años.;logos;2
La tasa de informalidad laboral alcanza el 72% en el sector agrícola.;logos;2
El decreto supremo 015-2021-MINAM regula las emisiones industriales.;logos;2
El informe del MEF alerta sobre la caída en la inversión pública regional.;logos;2
En comparación con 2022, el crecimiento del PBI fue 1.6 puntos menor.;logos;2
El último censo reveló que más del 45% de hogares carecen de acceso a Internet.;logos;2
El sistema electoral contempla mecanismos de impugnación y fiscalización.;logos;2
La ley de consulta previa es obligatoria para proyectos en territorios indígenas.;logos;2
El gasto en defensa aumentó un 5.2% respecto al año fiscal anterior.;logos;2
Según el MINSA, el 39% de centros de salud carecen de equipamiento básico.;logos;2
La SUNAT recaudó un 3.1% más en tributos internos durante el primer semestre.;logos;2
El Código Civil establece los plazos de prescripción para contratos públicos.;logos;2
El Perú merece un futuro mejor para todos.;vacio;3
Llegó la hora del cambio verdadero.;vacio;3
Vamos a devolverle la esperanza al pueblo.;vacio;3
Este es el momento de hacer historia.;vacio;3
Nuestro compromiso es con el pueblo y con la patria.;vacio;3
Un nuevo amanecer se levanta sobre nuestra nación.;vacio;3
Hoy empieza una nueva etapa de unidad y progreso.;vacio;3
El pueblo habló, y su voz será escuchada.;vacio;3
Vamos a construir el Perú que todos soñamos.;vacio;3
No más promesas vacías, solo acción verdadera.;vacio;3
Somos la generación del cambio.;vacio;3
Unidos, nadie nos podrá detener.;vacio;3
El futuro es nuestro si luchamos juntos.;vacio;3
El país necesita más corazón y menos corrupción.;vacio;3
Ha llegado el momento de creer otra vez.;vacio;3
Con fe y esperanza, todo es posible.;vacio;3
Vamos a recuperar la dignidad del país.;vacio;3
Lo imposible solo tarda un poco más.;vacio;3
El pueblo nunca se rinde, y nosotros tampoco.;vacio;3
Hoy más que nunca, Perú necesita valentía.;vacio;3
Nuestra lucha es por un mañana mejor.;vacio;3
Esta es la revolución de la esperanza.;vacio;3
Juntos todo es posible, divididos no somos nada.;vacio;3
Nuestro tiempo es ahora.;vacio;3
¡Sí se puede, Perú!;vacio;3
¡Esa señora es una vividora del Estado. ¿Y así quiere gobernar?;ad_hominem;0
Con esa cara de corrupto quiere hablar de transparencia. ¿Y así quiere gobernar?;ad_hominem;0
Solo un ladrón prometería eso sin vergüenza. ¿Y así quiere gobernar?;ad_hominem;0
Dice que lucha por el pueblo y vive en Miami. ¿Y así quiere gobernar?;ad_hominem;0
¡Ese tipo es un dinosaurio político sin cerebro. ¿Y así quiere gobernar?;ad_hominem;0
El candidato que ni sabe sumar ya quiere administrar. ¿Y así quiere gobernar?;ad_hominem;0
Tiene menos ideas que un loro y más ambición que un banquero. ¿Y así quiere gobernar?;ad_hominem;0
¡Solo un corrupto defendería esa postura.;ad_hominem;0
Su única experiencia es mentir en televisión. ¿Y así quiere gobernar?;ad_hominem;0
Ese señor se cree revolucionario y no sabe ni limpiar su casa.;ad_hominem;0
Ese político es un ignorante con micrófono.;ad_hominem;0
El candidato que ni sabe sumar ya quiere administrar. ¿Y así quiere gobernar?;ad_hominem;0
Tiene menos ideas que un loro y más ambición que un banquero.;ad_hominem;0
Su única experiencia es mentir en televisión.;ad_hominem;0
No le da ni para alcalde y quiere ser presidente.;ad_hominem;0
Ese político es un ignorante con micrófono. ¿Y así quiere gobernar?;ad_hominem;0
¡Con esa cara de corrupto quiere hablar de transparencia.;ad_hominem;0
Dice que lucha por el pueblo y vive en Miami. ¿Y así quiere gobernar?;ad_hominem;0
¡Su única experiencia es mentir en televisión.;ad_hominem;0
Solo un fanático sin criterio votaría por él.;ad_hominem;0
¡No le da ni para alcalde y quiere ser presidente. ¿Y así quiere gobernar?;ad_hominem;0
Ese señor se cree revolucionario y no sabe ni limpiar su casa.;ad_hominem;0
Tiene menos ideas que un loro y más ambición que un banquero. ¿Y así quiere gobernar?;ad_hominem;0
Ese tipo es un dinosaurio político sin cerebro. ¿Y así quiere gobernar?;ad_hominem;0
Ese señor se cree revolucionario y no sabe ni limpiar su casa.;ad_hominem;0
¡Ese señor se cree revolucionario y no sabe ni limpiar su casa.;ad_hominem;0
¡Es tan incompetente que no puede ni leer sus discursos. ¿Y así quiere gobernar?;ad_hominem;0
¡Esa señora es una vividora del Estado.;ad_hominem;0
¡Habla como experto pero ni terminó la secundaria.;ad_hominem;0
¡Esa señora es una vividora del Estado. ¿Y así quiere gobernar?;ad_hominem;0
¡Con esa cara de corrupto quiere hablar de transparencia. ¿Y así quiere gobernar?;ad_hominem;0
¡No le da ni para alcalde y quiere ser presidente.;ad_hominem;0
Solo un fanático sin criterio votaría por él.;ad_hominem;0
El candidato que ni sabe sumar ya quiere administrar. ¿Y así quiere gobernar?;ad_hominem;0
Dice que lucha por el pueblo y vive en Miami. ¿Y así quiere gobernar?;ad_hominem;0
¡Solo un fanático sin criterio votaría por él. ¿Y así quiere gobernar?;ad_hominem;0
¡Tiene menos ideas que un loro y más ambición que un banquero.;ad_hominem;0
Su única experiencia es mentir en televisión. ¿Y así quiere gobernar?;ad_hominem;0
Ese político es un ignorante con micrófono. ¿Y así quiere gobernar?;ad_hominem;0
Habla como experto pero ni terminó la secundaria. ¿Y así quiere gobernar?;ad_hominem;0
Habla de moral y tiene juicios por estafa. ¿Y así quiere gobernar?;ad_hominem;0
Habla de moral y tiene juicios por estafa.;ad_hominem;0
Es tan inútil como sus ideas trasnochadas. ¿Y así quiere gobernar?;ad_hominem;0
¡Solo un fanático sin criterio votaría por él.;ad_hominem;0
El candidato que ni sabe sumar ya quiere administrar. ¿Y así quiere gobernar?;ad_hominem;0
Ella es una influencer venida a menos que quiere poder.;ad_hominem;0
No sabe hablar y quiere gobernar el país. ¿Y así quiere gobernar?;ad_hominem;0
¡Es tan inútil como sus ideas trasnochadas. ¿Y así quiere gobernar?;ad_hominem;0
Habla de moral y tiene juicios por estafa.;ad_hominem;0
¡Ese tipo es un dinosaurio político sin cerebro. ¿Y así quiere gobernar?;ad_hominem;0
Habla como experto pero ni terminó la secundaria. ¿Y así quiere gobernar?;ad_hominem;0
Dice que lucha por el pueblo y vive en Miami.;ad_hominem;0
Ese tipo es un dinosaurio político sin cerebro.;ad_hominem;0
¡Habla de moral y tiene juicios por estafa.;ad_hominem;0
Solo un ladrón prometería eso sin vergüenza.;ad_hominem;0
No sabe hablar y quiere gobernar el país. ¿Y así quiere gobernar?;ad_hominem;0
Tiene menos ideas que un loro y más ambición que un banquero.;ad_hominem;0
Solo un corrupto defendería esa postura. ¿Y así quiere gobernar?;ad_hominem;0
Solo un ladrón prometería eso sin vergüenza.;ad_hominem;0
Con esa cara de corrupto quiere hablar de transparencia.;ad_hominem;0
Habla de moral y tiene juicios por estafa. ¿Y así quiere gobernar?;ad_hominem;0
¡Habla como experto pero ni terminó la secundaria. ¿Y así quiere gobernar?;ad_hominem;0
Su única experiencia es mentir en televisión.;ad_hominem;0
¡Ese político es un ignorante con micrófono.;ad_hominem;0
Ese candidato vive del cuento y nunca trabajó. ¿Y así quiere gobernar?;ad_hominem;0
No sabe hablar y quiere gobernar el país.;ad_hominem;0
Con esa cara de corrupto quiere hablar de transparencia.;ad_hominem;0
Ella es una influencer venida a menos que quiere poder.;ad_hominem;0
¡Habla de moral y tiene juicios por estafa. ¿Y así quiere gobernar?;ad_hominem;0
No sabe hablar y quiere gobernar el país. ¿Y así quiere gobernar?;ad_hominem;0
Ese señor se cree revolucionario y no sabe ni limpiar su casa.;ad_hominem;0
Su única experiencia es mentir en televisión.;ad_hominem;0
¡Es tan inútil como sus ideas trasnochadas.;ad_hominem;0
¡Ese señor se cree revolucionario y no sabe ni limpiar su casa.;ad_hominem;0
Ella es una influencer venida a menos que quiere poder. ¿Y así quiere gobernar?;ad_hominem;0
¡Habla como experto pero ni terminó la secundaria. ¿Y así quiere gobernar?;ad_hominem;0
Solo un fanático sin criterio votaría por él.;ad_hominem;0
¡Ese señor se cree revolucionario y no sabe ni limpiar su casa.;ad_hominem;0
¡Es tan incompetente que no puede ni leer sus discursos. ¿Y así quiere gobernar?;ad_hominem;0
¡Solo un ladrón prometería eso sin vergüenza.;ad_hominem;0
Esa señora es una vividora del Estado. ¿Y así quiere gobernar?;ad_hominem;0
Solo un ladrón prometería eso sin vergüenza.;ad_hominem;0
Ella es una influencer venida a menos que quiere poder. ¿Y así quiere gobernar?;ad_hominem;0
¡Esa señora es una vividora del Estado. ¿Y así quiere gobernar?;ad_hominem;0
El candidato que ni sabe sumar ya quiere administrar.;ad_hominem;0
